Juventus Stadium (TO),20/03/2012 19:00,20/03/2012 23:00,40045
Juventus Stadium (TO),25/03/2012 19:00,25/03/2012 23:00,38536
Juventus Stadium (TO),01/04/2012 19:00,01/04/2012 23:00,38644
Juventus Stadium (TO),11/04/2012 19:00,11/04/2012 23:00,35000		
Juventus Stadium (TO),22/04/2012 19:00,22/04/2012 23:00,38686
Juventus Stadium (TO),02/05/2012 19:00,02/05/2012 23:00,38573	
Juventus Stadium (TO),13/05/2012 13:00,13/05/2012 18:00,40944

Stadio Silvio Piola (NO),11/03/2012 19:00,11/03/2012 23:00,8708
Stadio Silvio Piola (NO),25/03/2012 13:00,25/03/2012 18:00,9943
Stadio Silvio Piola (NO),07/04/2012 13:00,07/04/2012 18:00,10066		
Stadio Silvio Piola (NO),25/04/2012 11:00,25/04/2012 16:00,9946
Stadio Silvio Piola (NO),29/04/2012 13:00,29/04/2012 18:00,17649
Stadio Silvio Piola (NO),06/05/2012 13:00,06/05/2012 18:00,8224


Stadio Olimpico (TO),12/03/2012 19:00,12/03/2012 23:00,21453
Stadio Olimpico (TO),24/03/2012 13:00,24/03/2012 18:00,12246
Stadio Olimpico (TO),06/04/2012 17:00,07/04/2012 20:00,14306		
Stadio Olimpico (TO),28/04/2012 13:00,28/04/2012 18:00,12592
Stadio Olimpico (TO),07/05/2012 19:00,07/05/2012 23:00,18093
Stadio Olimpico (TO),15/05/2012 19:00,15/05/2012 23:00,23361
Stadio Olimpico (TO),20/05/2012 10:00,20/05/2012 15:00,25529