Stadio Olimpico (TO),coord,45.041713,7.649999,-200
Juventus Stadium (TO),coord,45.109536,7.641453,200
Stadio Silvio Piola (NO),coord,45.435804,8.595901,-300
Stadio San Siro (MI),coord,45.478068,9.123845,200
Stadio Atleti Azzurri d'Italia (BG),coord,45.709229,9.680876,200
Stadio Mario Rigamonti (BS),coord,45.570692,10.236989,200
Stadio Franco Ossola (VA),coord,45.834593,8.800676,200
Piazza San Carlo (TO),coord,45.067709,7.682618,200
Piazza Castello (TO),coord,45.071138,7.685402,200
Piazza Vittorio (TO),coord,45.065117,7.694962,400
Parco Dora (TO),coord,45.092126,7.665832,200
Venezia,coord,45.4375,12.3350,2000
Firenze,coord,43.772,11.2575,2000
Asti,coord,44.900751,8.206426,2000
Torino,coord,45.066203,7.665142,8000
Melpignano,lac-cid,61616,16951,61616,16952,61616,16953,33112,2100,33112,2102,33112,2103,33112,15888,33112,15889,33112,15890,61616,9815,61616,9816,61616,9820,61616,15492,61616,15493,61616,15494,33112,54441,33112,54442,33112,2837,33112,2838,61616,42083,61616,42084,61616,13805,61616,13806,61616,10212,61616,10213,61616,15682,61616,15683,33112,7952,33112,7956,33112,7960,61616,48837,61616,48838,61616,48839,61616,13652,61616,13653,61616,13654,61616,13906,61616,13907,61616,13908
Lecce,lac-cid,33114,53202,33114,54405,33114,54406,33114,54407,33114,26757,33114,26758,33114,26759,61616,20936,61616,20937,61616,20938,61616,1960,61616,1962,61616,1963,61616,15463,61616,15464,61616,15465,33114,286,61616,46509,61616,1975,61616,27768,61616,27771,61616,16997,61616,16998,61616,23144,61616,633,61616,16994,61616,23124,61616,23128,61616,1964,61616,1967,61616,1935,61616,17019,33114,27125,33114,27126,33114,27127,33114,1516,61616,38648

Stazione Lecce,lac-cid,450102,0,450102,1,450102,2,61616,38652,61616,38656,61616,38657,61616,17006,61616,17007,61616,17008,33114,27153,33114,27154,33114,27155,61616,1285,450099,0,61616,23148,61616,634,61616,16995,61616,23131,61616,1968
Aereoporto Bari,lac-cid,34783,52753,34783,52754,34783,52755,450003,6,450003,7,450003,8,34783,202,450003,0,450003,1,450003,2,61614,9440,61614,9441,61614,9442,61614,205,61614,206,61614,207,61614,14560,61614,14561,61614,14562,34783,50950,34783,14011,61614,9642,61614,485,61614,15191,34783,2056,61614,905,61614,13624,61614,15118,44783,52894,44783,23198
Porto Bari,lac-cid,34783,7602,34783,7603,61614,9534,61614,9535,61614,491,61614,492,61614,15196,61614,15197,34783,24431,34783,52965,34783,52966,34783,52967,34783,4367,34783,13375,34783,2733,61614,9537,61614,5680,61614,14043
Aereoporto Brindisi,lac-cid,33114,53363,61615,18080,61615,498,61615,16785,61615,46027,61615,46026,61615,15330
Porto Brindisi,lac-cid,61615,41983,61615,41984,61615,41985,61615,15331,61615,15332,61615,15333,33114,53339,33114,25179,61615,18056,61615,14677,33114,1404,33114,1406,61615,1411,61615,1413,61615,15783,61615,15785,61615,16777,61615,16779,61615,46024,61615,15328,33114,53359

//Stazione Lecce,coord,18.1672066744857,40.34510961842201,500
//Aereoporto Bari,coord,16.7655036752327,41.13536201920554,1000
//Porto Bari,coord,16.87013236091578,41.13248055627001,500
//Aereoporto Brindisi,coord,17.93940183291672,40.65763488384684,500
//Porto Brindisi,coord,17.95580239084958,40.64693391982765,2000