Piazza San Carlo (TO),24/06/2013 19:00,24/06/2013 23:00,25000
Piazza San Carlo (TO),25/06/2013 19:00,25/06/2013 23:00,10000
Piazza San Carlo (TO),26/06/2013 19:00,26/06/2013 23:00,15000
Piazza San Carlo (TO),27/06/2013 19:00,27/06/2013 23:00,15000
Piazza San Carlo (TO),28/06/2013 19:00,28/06/2013 23:00,10000
Piazza San Carlo (TO),29/06/2013 19:00,29/06/2013 23:00,20000
Piazza San Carlo (TO),30/06/2013 19:00,30/06/2013 23:00,25000

Piazza Castello (TO),23/06/2013 21:00,23/06/2013 23:00,25000

Piazza Vittorio (TO),24/06/2013 21:00,24/06/2013 23:00,35000

Stadio Olimpico (TO),28/06/2013 20:00,28/06/2013 23:00,35000
Stadio Olimpico (TO),29/06/2013 20:00,29/06/2013 23:00,35000

Parco Dora (TO),13/07/2013 20:00,13/07/2013 23:00,20000
Parco Dora (TO),14/07/2013 20:00,14/07/2013 23:00,20000

Stadio Olimpico (TO),16/07/2013 20:00,16/07/2013 23:00,40000